id,name,platforms,developers,publishers,initial_release_date,genres,engine,modes,base_cost_on_steam,type_of_developer,simplified_category,platform_categories,game_age,age_group
263490,Rust,"['PlayStation 4', 'Microsoft Windows', 'Linux', 'macOS', 'Xbox One', 'Mac operating systems']","['Facepunch Studios', 'Double Eleven']","['Facepunch Studios', 'Double Eleven', 'Plaion']",2013-12-11,"['FPS Shooter', 'RPG', 'Adventure Game', 'Indie Game', 'Survival', 'Open World']",Unity,['Multiplayer'],39.99,"['Indie', 'AA']",Multiple,"['Console', 'PC']",11.0,10-20
33214,Fortnite,"['macOS', 'Windows', 'PlayStation 4', 'Xbox One', 'iOS', 'Nintendo Switch', 'Android', 'Xbox Series X/S', 'PlayStation 5']",['Epic Games'],['Epic Games'],2017-07-25,"['Shooter', 'RPG', 'Simulation', 'Strategy', 'Adventure Game', 'FPS', 'Action']",Unreal Engine 5,['Multiplayer'],,['Indie'],Indie,"['Mobile', 'Console', 'PC']",7.0,5-10
32982,Grand Theft Auto V,"['PlayStation 4', 'PlayStation 5', 'PlayStation 3', 'Xbox One', 'Xbox 360', 'Xbox Series X and Series S', 'Microsoft Windows']",['Rockstar North'],['Rockstar Games'],2013-09-17,"['FPS', 'Shooter', 'Driving/Racing Game', 'Adventure Game', 'Action']",RAGE,"['Single-player', 'Multiplayer']",39.98,['AAA'],AAA,"['Console', 'PC']",11.0,10-20
1672324422,Call of Duty: Black Ops 6,"['PlayStation 5', 'Xbox Series X and Series S', 'PlayStation 4', 'Xbox One', 'Xbox Cloud Gaming', 'Microsoft Windows']","['Treyarch', 'Raven Software']",['Activision'],2024-10-25,"['FPS', 'Shooter', 'Action']",IW,"['Single-player', 'Multiplayer']",69.99,"['Indie', 'AAA']",Multiple,"['Console', 'PC']",0.0,
21779,League of Legends,"['macOS', 'Microsoft Windows', 'Mac operating systems']",['Riot Games'],['Riot Games'],2009-10-27,"['RPG', 'Strategy MOBA', 'Action']",Proprietary Engine,['Multiplayer'],0.0,['AAA'],AAA,['PC'],15.0,10-20
516575,VALORANT,"['PlayStation 5', 'Microsoft Windows', 'Xbox Series X and Series S', 'Android']",['Riot Games'],['Riot Games'],2020-06-02,"['FPS', 'Shooter', 'Action']",Unreal Engine 4,['Multiplayer'],,['AAA'],AAA,"['Mobile', 'Console', 'PC']",5.0,3-5
460630,Tom Clancy's Rainbow Six Siege,"['PlayStation 4', 'Windows', 'Xbox One', 'PlayStation 5', 'Xbox Series X/S', 'Google Stadia']",['Ubisoft Montreal'],['Ubisoft'],2015-12-01,"['FPS', 'Shooter', 'Action']",AnvilNext 2.0,"['Single-player', 'Multiplayer']",19.99,['AAA'],AAA,"['Console', 'PC']",9.0,5-10
27471,Minecraft,"['Windows', 'macOS', 'Linux', 'Android', 'iOS', 'iPadOS', 'Xbox 360', 'Raspberry Pi', 'Windows Phone', 'PlayStation 3', 'Fire OS', 'PlayStation 4', 'Xbox One', 'PlayStation Vita', 'Wii U', 'Apple TV', 'tvOS', 'Nintendo Switch', 'New Nintendo 3DS', 'ChromeOS', 'PlayStation 5']",['Mojang Studios'],"['Mojang Studios', 'Xbox Game Studios']",2011-11-18,"['Simulation', 'Adventure Game', 'MMO', 'Action', 'Survival']",LWJGL,"['Single-player', 'Multiplayer']",,['Indie'],Indie,"['Mobile', 'Other', 'Console', 'PC']",13.0,10-20
2011938005,EA Sports FC 25,['Microsoft Windows'],"['EA Vancouver', 'EA Romania']","['Electronic Arts', 'EA Sports']",2024-09-27,"['Simulation', 'Sports Game']",EA Sports FC,"['Single-player', 'Multiplayer']",69.99,['AAA'],AAA,['PC'],0.0,
515025,Overwatch 2,"['PlayStation 5', 'PlayStation 4', 'Nintendo Switch', 'Xbox One', 'Xbox Series X and Series S', 'Microsoft Windows', 'GeForce Now']",['Blizzard Entertainment'],['Blizzard Entertainment'],2022-10-04,"['FPS', 'Shooter', 'Action']",Proprietary Engine,['Multiplayer'],0.0,['AAA'],AAA,"['Other', 'Console', 'PC']",2.0,1-3
29595,Dota 2,"['Windows', 'Linux', 'OS X']",['Valve'],['Valve'],2013-07-09,"['Strategy', 'MOBA', 'Action']",Source 2,['Multiplayer'],0.0,['AAA'],AAA,['PC'],11.0,10-20
511224,Apex Legends,"['PlayStation 4', 'Windows', 'Xbox One', 'Nintendo Switch', 'PlayStation 5', 'Xbox Series X/S', 'Android', 'iOS']",['Respawn Entertainment'],['Electronic Arts'],2019-02-04,"['FPS', 'Shooter', 'Action']","Source,Unreal Engine 4 (mobile)",['Multiplayer'],0.0,['Indie'],Indie,"['Mobile', 'Console', 'PC']",6.0,5-10
18122,World of Warcraft,"['Microsoft Windows', 'Mac OS X']",['Blizzard Entertainment'],['Blizzard Entertainment'],2004-11-23,"['RPG', 'Adventure Game', 'MMO', 'Action', 'Open World']",Proprietary Engine,['Multiplayer'],,['AAA'],AAA,['PC'],20.0,10-20
32399,Counter-Strike,"['Windows', 'macOS', 'Linux', 'PlayStation 3', 'Xbox', 'Xbox 360']","['Valve', 'Turtle Rock Studios', 'Hidden Path Entertainment', 'Gearbox Software', 'Ritual Entertainment', 'Nexon']","['Valve', 'Sierra Entertainment', 'Microsoft Game Studios', 'Namco', 'Nexon']",2000-11-09,"['FPS', 'Shooter', 'Action']",Source,['Multiplayer'],9.99,"['Indie', 'AA', 'AAA']",Multiple,"['Console', 'PC']",24.0,20+
504461,Super Smash Bros. Ultimate,['Nintendo Switch'],"['Sora Ltd.', 'Masahiro Sakurai', 'BANDAI NAMCO Studios', 'Nintendo Entertainment Planning & Development']",['Nintendo'],2018-12-07,"['Fighting', 'Platformer', 'Action', 'Party', 'Arcade']",Proprietary Engine,"['Single-player', 'Multiplayer']",,"['Unknown', 'Indie', 'AAA']",Multiple,['Console'],6.0,5-10
29452,Virtual Casino,['Sega Saturn'],['Digital Factory'],['Natsume Inc.'],1996-03-15,"['Card & Board Game', 'Gambling Game']",,"['Single-player', 'Multiplayer']",,['Indie'],Indie,['Console'],29.0,20+
491487,Dead by Daylight,"['Windows', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'Android', 'iOS', 'Stadia', 'Xbox Series X/S', 'PlayStation 5']",['Behaviour Interactive'],"['Behaviour Interactive', '505 Games', 'Deep Silver', 'NetEase Games', 'Starbreeze Studios']",2016-06-14,"['Strategy', 'Action', 'Horror', 'Survival', 'Stealth']",Unreal Engine 5,['Multiplayer'],19.99,['Indie'],Indie,"['Mobile', 'Console', 'PC']",8.0,5-10
512710,Call of Duty: Warzone,"['PlayStation 4', 'Xbox One', 'Microsoft Windows']","['Raven Software', 'Infinity Ward']",['Activision'],2020-03-10,"['FPS', 'Shooter', 'Action']",IW 8.0,['Multiplayer'],0.0,"['Indie', 'AA']",Multiple,"['Console', 'PC']",5.0,3-5
493057,PUBG: BATTLEGROUNDS,"['Windows', 'Android', 'iOS', 'Xbox One', 'PlayStation 4', 'Stadia', 'Xbox Series X/S', 'PlayStation 5']",['PUBG Studios'],"['Krafton', 'Microsoft Studios (Xbox One)', 'Tencent Games (mobile)']",2017-12-20,"['FPS', 'Shooter', 'Action']",Unreal Engine 4,['Multiplayer'],0.0,['AA'],AA,"['Mobile', 'Console', 'PC']",7.0,5-10
498215,UFO 50,['Microsoft Windows'],"['Mossmouth', 'Moppin', 'Eirik Suhrke', 'Jon Perry', 'Tyriq Plummer', 'Paul Hubans', 'Mossmouth', 'LLC']","['Mossmouth', 'Mossmouth', 'LLC']",2024-09-18,"['Shooter', 'Platformer', 'Puzzle', 'RPG', 'Strategy']",GameMaker,"['Single-player', 'Multiplayer']",24.99,"['Unknown', 'Indie']",Multiple,['PC'],0.0,
2132205352,Deadlock,['Windows'],['Valve'],['Valve'],,"['Shooter', 'Strategy', 'MOBA', 'Action']",Source 2,['Multiplayer'],,['AAA'],AAA,['PC'],,
494436328,The Bazaar,"['Android', 'iOS', 'Microsoft Windows']",['Temple Gates Games'],['Temple Gates Games'],2016-03-28,"['Strategy', 'Card & Board Game']",Unity,['Multiplayer'],4.99,['Unknown'],Unknown,"['Mobile', 'PC']",9.0,5-10
500188,Hunt: Showdown 1896,"['PlayStation 5', 'PlayStation 4', 'Xbox One', 'Xbox Series X and Series S', 'Microsoft Windows', 'GeForce Now']",['Crytek'],"['Crytek', 'Plaion']",2018-03-22,"['FPS', 'Shooter', 'Simulation', 'Action', 'Horror']",CryEngine V,['Multiplayer'],29.99,['AA'],AA,"['Other', 'Console', 'PC']",7.0,5-10
1398657661,Anime Squad,['Microsoft Windows'],['Radatomic Studios'],['Radatomic Studios'],,"['Indie Game', 'Action']",,['Multiplayer'],,['Indie'],Indie,['PC'],,
322503446,Resident Evil 4,"['GameCube', 'PlayStation 2', 'Windows', 'Wii', 'iOS', 'Zeebo', 'PlayStation 3', 'Xbox 360', 'Android', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'Oculus Quest 2']",['Capcom'],['Capcom'],2005-01-11,"['Shooter', 'Puzzle', 'Adventure Game', 'Action', 'Horror']",RE Engine,['Single-player'],39.99,['AAA'],AAA,"['Mobile', 'Other', 'Console', 'PC']",20.0,10-20
491931,Escape from Tarkov,['Microsoft Windows'],['Battlestate Games'],['Battlestate Games'],2017-07-27,"['FPS', 'Shooter', 'RPG', 'Simulation', 'MMO', 'Action']",Unity,['Multiplayer'],,['Indie'],Indie,['PC'],7.0,5-10
1869211376,Pokémon Añil,"['Microsoft Windows', 'Android']",['EricLostie'],,2023-03-23,['RPG'],,['Single-player'],,['Indie'],Indie,"['Mobile', 'PC']",2.0,1-3
138585,Hearthstone,"['Windows', 'macOS', 'iOS', 'Android']",['Blizzard Entertainment'],['Blizzard Entertainment'],2014-03-11,"['Strategy', 'Card & Board Game']",Unity,"['Single-player', 'Multiplayer']",,['AAA'],AAA,"['Mobile', 'PC']",11.0,10-20
30921,Rocket League,"['PlayStation 4', 'Windows', 'Xbox One', 'macOS', 'Linux', 'Nintendo Switch']",['Psyonix'],['Psyonix'],2015-07-07,"['Driving/Racing Game', 'Sports Game', 'Indie Game', 'Action']",Unreal Engine 3,"['Single-player', 'Multiplayer']",,['Indie'],Indie,"['Console', 'PC']",9.0,5-10
512953,ELDEN RING,"['PlayStation 5', 'PlayStation 4', 'Xbox Series X and Series S', 'Xbox One', 'Microsoft Windows']",['FromSoftware Inc.'],"['Bandai Namco', 'Entertainment', 'JP: FromSoftware']",2022-02-25,"['RPG', 'Adventure Game', 'Action', 'Open World']",Proprietary Engine,"['Single-player', 'Multiplayer']",59.99,['AAA'],AAA,"['Console', 'PC']",3.0,1-3
12839,Heroes of Might and Magic III: The Restoration of Erathia,"['Microsoft Windows', 'Android', 'Linux', 'iOS', '3DO', 'Dreamcast', 'MacOS']","['New World Computing', 'Loki Software', 'DotEmu']","['The 3DO Company', 'Loki Software', 'Ubisoft']",1999-03-03,"['RPG', 'Strategy']",,"['Single-player', 'Multiplayer']",14.99,"['Unknown', 'Indie', 'AAA']",Multiple,"['Mobile', 'Console', 'PC']",26.0,20+
19619,Tibia,"['Linux', 'Web browser', 'Microsoft Windows', 'macOS']",['CipSoft'],['CipSoft'],1997-01-07,"['RPG', 'Adventure Game', 'MMO']",,['Multiplayer'],,['Indie'],Indie,"['Web', 'PC']",28.0,20+
737987407,Enshrouded,"['PlayStation 5', 'Xbox Series X and Series S', 'GeForce Now', 'Microsoft Windows']",['Keen Games'],['Keen Games'],2024-01-24,"['RPG', 'Adventure Game', 'Action', 'Survival']",Holistic,"['Single-player', 'Multiplayer']",29.99,['Indie'],Indie,"['Other', 'Console', 'PC']",1.0,0-1
514888,Crusader Kings III,"['Microsoft Windows', 'macOS', 'Linux', 'Xbox Series X/S', 'PlayStation 5']",['Paradox Development Studio'],['Paradox Interactive'],2020-09-01,"['RPG', 'Simulation', 'Strategy', 'Open World']",Clausewitz Engine,"['Single-player', 'Multiplayer']",49.99,['AA'],AA,"['Console', 'PC']",4.0,3-5
55453844,Street Fighter 6,"['PlayStation 5', 'PlayStation 4', 'Arcade video game', 'Xbox Series X and Series S', 'GeForce Now', 'Microsoft Windows']",['Capcom'],"['Capcom', 'Taito']",2023-06-02,"['Fighting', 'Arcade', 'Action']",RE Engine,"['Single-player', 'Multiplayer']",59.99,['AAA'],AAA,"['Other', 'Console', 'PC']",2.0,1-3
518184,Phasmophobia,"['PlayStation 5', 'Xbox Series X and Series S', 'GeForce Now', 'Microsoft Windows']",['Kinetic Games'],['Kinetic Games'],2020-09-04,"['Puzzle', 'Indie Game', 'Action', 'Horror']",Unity,"['Single-player', 'Multiplayer']",19.99,['Indie'],Indie,"['Other', 'Console', 'PC']",4.0,3-5
497497,Brawl Stars,"['Android', 'iOS', 'iPadOS']",['Supercell'],['Supercell'],2018-12-12,"['Mobile Game', 'Shooter', 'Strategy', 'MOBA', 'Action']",Proprietary Engine,['Multiplayer'],,['Indie'],Indie,['Mobile'],6.0,5-10
19801,Throne and Liberty,"['PlayStation 5', 'Xbox Series X and Series S', 'Microsoft Windows', 'Mac operating systems']","['NCSOFT', 'NC Studio']","['NCSOFT', 'Amazon Games']",2024-09-26,"['RPG', 'Adventure Game', 'MMO', 'Action']",Unreal Engine 4,['Multiplayer'],0.0,"['Unknown', 'Indie']",Multiple,"['Console', 'PC']",0.0,
2058570718,Silent Hill 2,"['PlayStation 5', 'Microsoft Windows']",['Bloober Team'],"['Konami', 'Konami Digital Entertainment']",2024-10-07,"['Puzzle', 'Adventure Game', 'Horror', 'Survival', 'Mystery']",Unreal Engine 5,['Single-player'],69.99,['Indie'],Indie,"['Console', 'PC']",0.0,
941530474,Mario Kart 8 Deluxe,['Nintendo Switch'],"['Nintendo EAD', 'Nintendo EPD']",['Nintendo'],2017-04-28,"['Driving/Racing Game', 'Arcade', 'Action', 'Party']",Proprietary Engine,"['Single-player', 'Multiplayer']",,['AAA'],AAA,['Console'],8.0,5-10
87129551,Trackmania,"['Windows', 'PlayStation 4', 'PlayStation 5', 'Xbox One', 'Xbox Series X/S']",['Ubisoft Nadeo'],['Ubisoft'],2020-07-01,"['Driving/Racing Game', 'Sports Game', 'Arcade', 'Action', 'Simulation']",Maniaplanet,"['Single-player', 'Multiplayer']",0.0,['AAA'],AAA,"['Console', 'PC']",4.0,3-5
